INCIDENT_NUMBER,IMPACT,URGENCY,PRIORITY,STATUS,STATUS_REASON,LAST_MODIFIED_BY,LAST_MODIFIED_DATE,REPORTED_DATE,RESPONDED_DATE,EPOCHTODATE(CLOSED_DATE),OWNER_GROUP,OWNER,MANUFACTURER,PRODUCT_MODEL_VERSION,PRODUCT_CATEGORIZATION_TIER_1,PRODUCT_CATEGORIZATION_TIER_2,PRODUCT_CATEGORIZATION_TIER_3,SERVICECI,HPD_CI,CI,SERVICE,COMPANY,CATEGORIZATION_TIER_1,CATEGORIZATION_TIER_2,CATEGORIZATION_TIER_3,REPORTED_SOURCE,ASSIGNED_GROUP,ASSIGNEE,CATEGORY,RESOLUTION_CATEGORY,RESOLUTION_METHOD,RESOLUTION_CATEGORY_TIER_2,RESOLUTION_CATEGORY_TIER_3,RESOLUTION,DESCRIPTION,DETAILED_DESCRIPTION
PDINC0001255999,Significant/Large,Medium,Medium,Closed,19000,AR_ESCALATOR,25-Jan-13,8-Jan-13,8-Jan-13,25-Jan-13,Service Desk,,BMC Software Internal,,IT,COTS,.Net,intranet.bmc.com,,,,BMC Software Inc.,Infrastructure Services,Application Infrastructure,Remedy Infrastructure,6000,IT-BSM-Support-Atrium,Ashis Kumar Tripathy,,,Remote Assistance/Tool,,,Needful has been done. So resolved the ticket after getting the confirmation from the User.,"Getting error while trying to access help-desk portal, ARERR [623] Authentication failed""","Getting error while trying to access help-desk portal, ARERR [623] Authentication failed"""
PDINC0001256005,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,Service,IT-Service,Infrastructure,VPN,,,,BMC Software Inc.,User Access Administration,Remote Access (RSA),Token Registration,6000,Service Desk,Pinaak Bam,,,Service Desk assisted,,,"After the token activation, user is able to connect to the VPN without any problem.",RSA Token Activation,Need to Activate my RSA token to connect to the VPN Remotely
PDINC0001256161,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Isaac Oral Robert,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001256173,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,23-Jan-13,8-Jan-13,8-Jan-13,23-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Pinaak Bam,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001256840,Minor/Localized,Low,Low,Closed,,dataylor,9-Jan-13,9-Jan-13,9-Jan-13,9-Jan-13,Information Security,,,,,,,,,,,BMC Software Inc.,Information Security,SOX Controls Audit,GCC-2023,12000,Infosec Automation,Information Security,,,Auto Resolve,,,Manually closing incident. AO/Remedy integration having problems,GCC-2023 Audit Tracking,"Tracking incident for the GCC-2023 audit activity.  There is an automated audit, therefore no action required.  Contact David Taylor with any questions."
PDINC0001256846,Minor/Localized,Low,Low,Closed,19000,dataylor,9-Jan-13,9-Jan-13,9-Jan-13,9-Jan-13,Information Security,,,,,,,,,,,BMC Software Inc.,Information Security,SOX Controls Audit,GCC-2023,12000,Infosec Automation,Information Security,,,Auto Resolve,,,Automation failed to close incidents,Mobile Device Management tracker EID: 40641,"This is a tracking incident and should close automatically.  If this ticket remains open for more than 24 hours, manual intervention is required.  The employee record being checked for mobile devices is:40641"
PDINC0001256760,Minor/Localized,Medium,Medium,Closed,19000,AR_ESCALATOR,24-Jan-13,9-Jan-13,9-Jan-13,24-Jan-13,Service Desk,,BMC Internal,,Service,IT-Service,Infrastructure,VPN,,,,BMC Software Inc.,User Access Administration,Remote Access (RSA),Connectivity,6000,Service Desk,Sandeep Kamath,,Network,Service Desk assisted,SSL VPN,Client side configuration,Helped the user with enrolling certificates on Beacon and then connecting to Cisco VPN.,Cisco Anyconnect with Beacon.,User called Servicedesk for Beacon Certenroll and login to Beacon.
PDINC0001256931,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,26-Jan-13,9-Jan-13,9-Jan-13,26-Jan-13,EMEA IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Phones,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,Global Telecom,Amit Deshpande,,,Remote Assistance/Tool,,,Extension 393320 removed from PBX system.,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/01/2013 00:49Employee Type: EmployeeEmployee Number: 22454Full Name: Erberta ParesceEmail Address: erberta_paresce@bmc.comLogin ID: eparesceJob Title: Admin Supp Asst IOrganization: ADM - Administration (A)Department: 2111-20743-MSM SALES EMEA SERManager: Carlo BossiCost Center: 20743Cost Center Name: MSM SALES EMEA SERPhone Extension Type: ITA Milan IIPhone Extension Number: ###Mobile Phone Number:
PDINC0001256946,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,26-Jan-13,9-Jan-13,9-Jan-13,26-Jan-13,EMEA IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Back-Up_And_Recovery_Services,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,Global Telecom,Patrick Golden,,,Remote Assistance/Tool,,,Dup,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/01/2013 00:49Employee Type: EmployeeEmployee Number: 49072Full Name: Flavia FiorucciEmail Address: flavia_fiorucci@bmc.comLogin ID: ffioruccJob Title: Mgr - FinanceOrganization: F&A - Finance & Acctg (F)Department: 2060-40658-G AND A - NUMARAManager: Mary PetzenCost Center: 40658Cost Center Name: G AND A - NUMARAPhone Extension Type: FRA Sophia AntipolisPhone Extension Number: ###Mobile Phone Number:
PDINC0001256948,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,25-Jan-13,9-Jan-13,9-Jan-13,25-Jan-13,India IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Phones,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,India IS,Ganesh Autade,,,Remote Assistance/Tool,,,Extension removed,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/01/2013 00:49Employee Type: CW EmployeeEmployee Number: 57405Full Name: Akshat VyasEmail Address: akshat_vyas_cw@bmc.comLogin ID: akvyasJob Title: SOW Contingent WorkerOrganization: ADM - Administration (A)Department: 3011-40258-IS AND T PROJECTS - FINANCE AUTOMATIONManager: Sanjay KulkarniCost Center: 40258Cost Center Name: therPhone Extension Type: IND PunePhone Extension Number: ###Mobile Phone Number:
PDINC0001256968,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,25-Jan-13,9-Jan-13,10-Jan-13,25-Jan-13,Americas Client Services,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Phones,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,Americas Client Services,Ganesh Autade,,,Remote Assistance/Tool,,,Extension not found,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/04/2013 15:44Employee Type: EmployeeEmployee Number: 29853Full Name: Ken MellettEmail Address: kenneth_mellett@bmc.comLogin ID: kmellettJob Title: VP - SalesOrganization: SLS - Sales (S)Department: 5011-20312-AMERICAS SLGEManager: Carv MooreCost Center: 20312Cost Center Name: AMERICAS SLGEPhone Extension Type: USA McLeanPhone Extension Number:  713-918-1737- Admin.  E. ContaldiMobile Phone Number:
PDINC0001256971,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,25-Jan-13,9-Jan-13,10-Jan-13,25-Jan-13,Americas Client Services,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Phones,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,Americas Client Services - Remote,Ganesh Autade,,,Remote Assistance/Tool,,,Extension reomved,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/05/2013 00:57Employee Type: EmployeeEmployee Number: 23775Full Name: Rich DenmanEmail Address: rich_denman@bmc.comLogin ID: rdenmanJob Title: Sr Mgr - Technical SuppOrganization: PD - Product Development (P)Department: 5011-39909-STRATEGIC CS - AMManager: Lucy KarisCost Center: 39909Cost Center Name: STRATEGIC CS - AMPhone Extension Type: USA Pleasanton IIPhone Extension Number: 925-730-4567 (44567)Mobile Phone Number:
PDINC0001256979,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,25-Jan-13,9-Jan-13,9-Jan-13,25-Jan-13,India IS,,BMC Software Internal,,Service,IT-Service,Infrastructure,Desktop Phones,,,,BMC Software Inc.,Phones,Desktop Phones,Delete/Remove,12000,India IS,Ganesh Autade,,,Remote Assistance/Tool,,,Extension removed,Please remove number from PBX System,Please remove number from PBX System.Reported Date: 01/07/2013 09:44Employee Type: CW EmployeeEmployee Number: 46760Full Name: Neeraj RathiEmail Address: neeraj_rathi_cw@bmc.comLogin ID: nrathiJob Title: SOW Contingent WorkerOrganization: ADM - Administration (A)Department: 5011-30387-ATRIUM - CMDB R AND DManager: Suhas GogateCost Center: 30387Cost Center Name: ATRIUM - CMDB R AND DPhone Extension Type: IND Agency OfficePhone Extension Number: ###Mobile Phone Number:
PDINC0001257025,Minor/Localized,Critical,High,Closed,19000,AR_ESCALATOR,24-Jan-13,9-Jan-13,9-Jan-13,24-Jan-13,Enterprise WINTEL Applications,,BMC Software Internal,,IT,COTS,Other,Microsoft Communicator,,,,BMC Software Inc.,Business Application,Messaging and Meeting,Instant Messaging,6000,Enterprise WINTEL Applications,Karan Kumar,,,Remote Assistance/Tool,,,Enabled SIP ID,Communicator Login Problems,Not able to Login to MS Communicator with my adprod userid and password.
PDINC0001257039,Minor/Localized,Low,Low,Closed,19000,AR_ESCALATOR,24-Jan-13,9-Jan-13,9-Jan-13,24-Jan-13,Service Desk,,BMC Software Internal,,External,ASP,Web,WebEx,,,,BMC Software Inc.,Business Application,Messaging and Meeting,WebEx,6000,Service Desk,Amit Shinde,,Application,Service Desk assisted,Application,Access Granted,Webex credetials given to the user as per request.,Webex Credentials Issue,User called service desk for getting webex username and password.
PDINC0001257045,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,24-Jan-13,9-Jan-13,9-Jan-13,24-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Jitendra Wadhwani,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
PDINC0001257218,Moderate/Limited,Medium,Medium,Closed,19000,AR_ESCALATOR,19-Feb-13,9-Jan-13,4-Feb-13,19-Feb-13,IT-BSM-Support-Atrium,,,,BSM,ESM,Strategic Resource Planning,ITBM,,,,BMC Software Inc.,Infrastructure Services,IT Service Management,Automation,12000,IT-BSM-Support-Atrium,Rhonda Zacharias,,,Resolution by Automation Tool,,,BAO Auto Restart,BAO has Restarted the Production ITBM Service via the OCP.,[BAO Automation Action] BAO has Restated the ITBM Production Environment. The BMC ITBM 8.0.00 Jboss Service service was stopped successfully. The BMC ITBM 8.0.00 Jboss Service service is starting. The BMC ITBM 8.0.00 Jboss Service service was started successfully.
PDINC0001257488,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-mspd-01,"Daily_NT_3 completedFailed:  phx-mspd-01--- Unsuccessful Save Sets ---* phx-mspd-01:VSS ASR DISK:\ 3 retries attempted* phx-mspd-01:VSS ASR DISK:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:VSS ASR DISK:\ * phx-mspd-01:VSS ASR DISK:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:VSS OTHER:\ 3 retries attempted* phx-mspd-01:VSS OTHER:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:VSS OTHER:\ * phx-mspd-01:VSS OTHER:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:VSS USER DATA:\ 3 retries attempted* phx-mspd-01:VSS USER DATA:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:VSS USER DATA:\ * phx-mspd-01:VSS USER DATA:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:VSS SYSTEM SERVICES:\ 3 retries attempted* phx-mspd-01:VSS SYSTEM SERVICES:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:VSS SYSTEM SERVICES:\ * phx-mspd-01:VSS SYSTEM SERVICES:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:VSS SYSTEM BOOT:\ 3 retries attempted* phx-mspd-01:VSS SYSTEM BOOT:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:VSS SYSTEM BOOT:\ * phx-mspd-01:VSS SYSTEM BOOT:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:D:\ 3 retries attempted* phx-mspd-01:D:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:D:\ * phx-mspd-01:D:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-mspd-01:C:\ 3 retries attempted* phx-mspd-01:C:\ 39077:save: error, no matching devices for save of client `phx-mspd-01'; check storage nodes, devices or pools* phx-mspd-01:C:\ * phx-mspd-01:C:\ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---* phx-mspd-01:All savefs phx-mspd-01: succeeded.  phx-mspd-01: VSS SYSTEM FILESET:\ level=skip,      0 KB 00:00:04      0 files  phx-br-01: index:phx-mspd-01      level=9,       131 KB 00:00:07     21 files"
PDINC0001257497,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-sderpt-01,"Daily_NT_3 completedFailed:  phx-sderpt-01--- Unsuccessful Save Sets ---* phx-sderpt-01:VSS ASR DISK:\ 3 retries attempted* phx-sderpt-01:VSS ASR DISK:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:VSS ASR DISK:\ * phx-sderpt-01:VSS ASR DISK:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:VSS OTHER:\ 3 retries attempted* phx-sderpt-01:VSS OTHER:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:VSS OTHER:\ * phx-sderpt-01:VSS OTHER:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:VSS USER DATA:\ 3 retries attempted* phx-sderpt-01:VSS USER DATA:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:VSS USER DATA:\ * phx-sderpt-01:VSS USER DATA:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:VSS SYSTEM SERVICES:\ 3 retries attempted* phx-sderpt-01:VSS SYSTEM SERVICES:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:VSS SYSTEM SERVICES:\ * phx-sderpt-01:VSS SYSTEM SERVICES:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:VSS SYSTEM BOOT:\ 3 retries attempted* phx-sderpt-01:VSS SYSTEM BOOT:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:VSS SYSTEM BOOT:\ * phx-sderpt-01:VSS SYSTEM BOOT:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:D:\ 3 retries attempted* phx-sderpt-01:D:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:D:\ * phx-sderpt-01:D:\ 5777:save: Cannot open save session with phx-br-01-bk* phx-sderpt-01:C:\ 3 retries attempted* phx-sderpt-01:C:\ 39077:save: error, no matching devices for save of client `phx-sderpt-01'; check storage nodes, devices or pools* phx-sderpt-01:C:\ * phx-sderpt-01:C:\ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---* phx-sderpt-01:All savefs phx-sderpt-01: succeeded.  phx-sderpt-01: VSS SYSTEM FILESET:\ level=skip,    0 KB 00:00:13      0 files  phx-br-01: index:phx-sderpt-01    level=9,       222 KB 00:00:07     20 files"
PDINC0001257634,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-oradev-17b,Daily_Unix_2 completedFailed:  phx-oradev-17b--- Unsuccessful Save Sets ---* phx-oradev-17b:/u308/oradata/test-rf abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u308/oradata/test-t abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u307/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u507/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u306/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u506/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u508/oradata/test-f abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u508/oradata/test-t abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u300/oradata/test abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u501/oradata/test abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is not in the servers file for the NetWorker client `phx-oradev-17b'* phx-oradev-17b:/u107/oradata/test-r abandoned     * <SEVERE> :  Unable to execute save job on host phx-oradev-17b: NetWorker server `phx-br-01.bmc.com' is
PDINC0001257644,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-j2eebuild-01,"Daily_Unix_2 completedFailed:  phx-j2eebuild-01--- Unsuccessful Save Sets ---* phx-j2eebuild-01:/boot 3 retries attempted* phx-j2eebuild-01:/boot 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/boot * phx-j2eebuild-01:/boot 5777:save: Cannot open save session with phx-br-01-bk     * <ERROR> :  Failed with error(s)* phx-j2eebuild-01:/tmp 3 retries attempted* phx-j2eebuild-01:/tmp 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/tmp * phx-j2eebuild-01:/tmp 5777:save: Cannot open save session with phx-br-01-bk     * <ERROR> :  Failed with error(s)* phx-j2eebuild-01:/var 3 retries attempted* phx-j2eebuild-01:/var 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/var * phx-j2eebuild-01:/var 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/bmc 3 retries attempted* phx-j2eebuild-01:/bmc 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/bmc * phx-j2eebuild-01:/bmc 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/opt 3 retries attempted* phx-j2eebuild-01:/opt 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/opt * phx-j2eebuild-01:/opt 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/usr 3 retries attempted* phx-j2eebuild-01:/usr 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/usr * phx-j2eebuild-01:/usr 5777:save: Cannot open save session with phx-br-01-bk* phx-j2eebuild-01:/ 3 retries attempted* phx-j2eebuild-01:/ 39077:save: error, no matching devices for save of client `phx-j2eebuild-01'; check storage nodes, devices or pools* phx-j2eebuild-01:/ * phx-j2eebuild-01:/ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---* phx-j2eebuild-01:All savefs phx-j2eebuild-01: succeeded.  phx-br-01: index:phx-j2eebuild-01 level=9,      7416 KB 00:00:17     13 files"
PDINC0001257649,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-rnd-scm2,"Daily_Unix_2 completedFailed:  phx-rnd-scm2--- Unsuccessful Save Sets ---* phx-rnd-scm2:/cluster 3 retries attempted* phx-rnd-scm2:/cluster 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/cluster * phx-rnd-scm2:/cluster 5777:save: Cannot open save session with phx-br-01-bk* phx-rnd-scm2:/boot 3 retries attempted* phx-rnd-scm2:/boot 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/boot * phx-rnd-scm2:/boot 5777:save: Cannot open save session with phx-br-01-bk* phx-rnd-scm2:/ 3 retries attempted* phx-rnd-scm2:/ 39077:save: error, no matching devices for save of client `phx-rnd-scm2'; check storage nodes, devices or pools* phx-rnd-scm2:/ * phx-rnd-scm2:/ 5777:save: Cannot open save session with phx-br-01-bk--- Successful Save Sets ---type: NSR client description;pools supported: Yes;browse time supported: Yes;multiple balanced streams supported: Yes;remote user: root;groups: root;client OS type: Linux;CPU type: x86_64;CPUs: 4;kernel arch: x86_64;machine type: desktop;MB used: 22414;NetWorker version: 7.5.1.Build.269;OS: Linux 2.6.18-164.6.1.el5;version: 7.5.1.Build.269;save set: path=/, level=full, diskno=1, max_sessions=2, stype=save,\path=/boot, level=full, diskno=1, max_sessions=2, stype=save,\path=/cluster, level=full, diskno=0, max_sessions=1, stype=save ;parallelism: 8  phx-br-01: index:phx-rnd-scm2     level=9,       139 KB 00:00:14      8 files"
PDINC0001257657,Moderate/Limited,Medium,Medium,Cancelled,,skale,10-Jan-13,10-Jan-13,10-Jan-13,10-Jan-13,Open Sys Data Mgmt,,,,,,,,,,,BMC Software Inc.,,,,12000,Open Sys Data Mgmt,,,,Auto Resolve,,,We are working on CR: - PDCRQ0000094810 hence canceled the ticket.,DA_Backup_Failure:phx-br-01:phx-tokenweb-01,"Daily_Unix_2 completedFailed:  phx-tokenweb-01--- Unsuccessful Save Sets ---* phx-tokenweb-01:/boot 3 retries attempted* phx-tokenweb-01:/boot 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/boot * phx-tokenweb-01:/boot 5777:save: Cannot open save session with phx-br-01* phx-tokenweb-01:/bmc 3 retries attempted* phx-tokenweb-01:/bmc 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/bmc * phx-tokenweb-01:/bmc 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/opt 3 retries attempted* phx-tokenweb-01:/opt 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/opt * phx-tokenweb-01:/opt 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/usr 3 retries attempted* phx-tokenweb-01:/usr 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/usr * phx-tokenweb-01:/usr 5777:save: Cannot open save session with phx-br-01* phx-tokenweb-01:/tmp 3 retries attempted* phx-tokenweb-01:/tmp 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/tmp * phx-tokenweb-01:/tmp 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/var 3 retries attempted* phx-tokenweb-01:/var 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/var * phx-tokenweb-01:/var 5777:save: Cannot open save session with phx-br-01     * <ERROR> :  Failed with error(s)* phx-tokenweb-01:/ 3 retries attempted* phx-tokenweb-01:/ 39077:save: error, no matching devices for save of client `phx-tokenweb-01'; check storage nodes, devices or pools* phx-tokenweb-01:/ * phx-tokenweb-01:/ 5777:save: Cannot open save session with phx-br-01--- Successful Save Sets ---type: NSR client description;pools supported: Yes;browse time supported: Yes;multiple balanced streams supported: Yes;remote user: root;groups: root;client OS type: Linux;CPU type: x86_64;CPUs: 2;kernel arch: x86_64;machine typ"
PDINC0001257940,Minor/Localized,High,Medium,Closed,19000,AR_ESCALATOR,25-Jan-13,10-Jan-13,10-Jan-13,25-Jan-13,Service Desk,,BMC Internal,,BSM,ESM,Service Support,BSM_Control/SA,,,,BMC Software Inc.,User Access Administration,Account Lockouts,Resets,6000,Service Desk,Isaac Oral Robert,,,Service Desk assisted,,,Unlocked Account per the problem reported & Informed the same to User to try out,Account Lockout Problems,User called in as the Domain Account was Locked & needed it to be Restored
